ダウンロードした時刻：2018/07/25 16:14:00

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
1983/9/1,25.2,8,1,29.2,8,1,23.0,8,1
1983/9/2,25.5,8,1,30.3,8,1,22.5,8,1
1983/9/3,26.4,8,1,30.9,8,1,23.2,8,1
1983/9/4,27.2,8,1,32.2,8,1,23.8,8,1
1983/9/5,27.4,8,1,31.5,8,1,23.2,8,1
1983/9/6,27.9,8,1,31.3,8,1,24.9,8,1
1983/9/7,26.0,8,1,31.3,8,1,22.1,8,1
1983/9/8,22.9,8,1,26.0,8,1,21.6,8,1
1983/9/9,22.4,8,1,26.0,8,1,20.4,8,1
1983/9/10,22.8,8,1,26.3,8,1,20.0,8,1
1983/9/11,23.9,8,1,26.8,8,1,21.8,8,1
1983/9/12,26.4,8,1,30.1,8,1,22.6,8,1
1983/9/13,27.4,8,1,32.7,8,1,23.5,8,1
1983/9/14,23.1,8,1,26.4,8,1,21.5,8,1
1983/9/15,19.6,8,1,21.7,8,1,18.8,8,1
1983/9/16,18.7,8,1,20.2,8,1,17.8,8,1
1983/9/17,20.7,8,1,26.5,8,1,16.7,8,1
1983/9/18,19.7,8,1,21.6,8,1,18.3,8,1
1983/9/19,19.6,8,1,22.9,8,1,17.0,8,1
1983/9/20,21.3,8,1,24.2,8,1,17.6,8,1
1983/9/21,21.0,8,1,23.7,8,1,19.1,8,1
1983/9/22,21.4,8,1,24.7,8,1,19.5,8,1
1983/9/23,20.4,8,1,24.8,8,1,17.1,8,1
1983/9/24,18.6,8,1,19.8,8,1,17.6,8,1
1983/9/25,19.9,8,1,22.3,8,1,17.9,8,1
1983/9/26,19.4,8,1,21.3,8,1,18.0,8,1
1983/9/27,16.0,8,1,18.7,8,1,13.9,8,1
1983/9/28,16.1,8,1,17.1,8,1,15.1,8,1
1983/9/29,17.1,8,1,20.7,8,1,14.6,8,1
1983/9/30,18.5,8,1,22.4,8,1,14.2,8,1
1983/10/1,20.6,8,1,24.8,8,1,16.7,8,1
1983/10/2,21.7,8,1,25.6,8,1,18.3,8,1
1983/10/3,22.0,8,1,26.3,8,1,17.1,8,1
1983/10/4,22.6,8,1,26.8,8,1,18.1,8,1
1983/10/5,22.1,8,1,25.7,8,1,18.2,8,1
1983/10/6,18.6,8,1,21.6,8,1,16.4,8,1
1983/10/7,18.2,8,1,22.5,8,1,15.0,8,1
1983/10/8,17.2,8,1,19.7,8,1,14.9,8,1
1983/10/9,18.7,8,1,21.1,8,1,15.8,8,1
1983/10/10,20.8,8,1,23.4,8,1,19.0,8,1
1983/10/11,18.4,8,1,21.4,8,1,15.7,8,1
1983/10/12,16.1,8,1,18.9,8,1,13.1,8,1
1983/10/13,17.9,8,1,21.2,8,1,15.0,8,1
1983/10/14,18.0,8,1,20.9,8,1,15.7,8,1
1983/10/15,16.4,8,1,20.6,8,1,12.3,8,1
1983/10/16,16.0,8,1,18.7,8,1,13.4,8,1
1983/10/17,16.9,8,1,21.8,8,1,12.9,8,1
1983/10/18,15.6,8,1,18.0,8,1,14.2,8,1
1983/10/19,12.7,8,1,14.4,8,1,11.8,8,1
1983/10/20,16.5,8,1,21.1,8,1,11.7,8,1
1983/10/21,14.5,8,1,17.0,8,1,12.8,8,1
1983/10/22,16.9,8,1,19.9,8,1,12.8,8,1
1983/10/23,14.8,8,1,17.0,8,1,11.0,8,1
1983/10/24,13.1,8,1,16.9,8,1,10.5,8,1
1983/10/25,13.0,8,1,18.2,8,1,8.4,8,1
1983/10/26,13.8,8,1,19.0,8,1,6.9,8,1
1983/10/27,15.2,8,1,22.0,8,1,10.9,8,1
1983/10/28,14.8,8,1,19.1,8,1,10.9,8,1
1983/10/29,15.3,8,1,22.1,8,1,10.7,8,1
1983/10/30,10.4,8,1,14.3,8,1,8.0,8,1
1983/10/31,10.9,8,1,15.9,8,1,5.8,8,1
1983/11/1,12.4,8,1,17.9,8,1,7.0,8,1
1983/11/2,13.3,8,1,18.1,8,1,9.4,8,1
1983/11/3,14.8,8,1,19.6,8,1,9.2,8,1
1983/11/4,14.0,8,1,16.5,8,1,11.7,8,1
1983/11/5,13.5,8,1,15.7,8,1,12.1,8,1
1983/11/6,11.3,8,1,12.4,8,1,10.5,8,1
1983/11/7,12.1,8,1,15.6,8,1,9.6,8,1
1983/11/8,12.4,8,1,17.6,8,1,7.7,8,1
1983/11/9,12.1,8,1,15.9,8,1,7.7,8,1
1983/11/10,13.4,8,1,15.0,8,1,11.1,8,1
1983/11/11,15.3,8,1,19.8,8,1,12.7,8,1
1983/11/12,14.0,8,1,19.5,8,1,10.3,8,1
1983/11/13,11.0,8,1,16.1,8,1,7.3,8,1
1983/11/14,11.6,8,1,16.5,8,1,7.4,8,1
1983/11/15,9.8,8,1,13.6,8,1,6.5,8,1
1983/11/16,13.2,8,1,17.7,8,1,8.6,8,1
1983/11/17,15.8,8,1,20.0,8,1,12.0,8,1
1983/11/18,12.0,8,1,13.6,8,1,9.7,8,1
1983/11/19,10.9,8,1,15.3,8,1,7.4,8,1
1983/11/20,10.3,8,1,14.1,8,1,6.8,8,1
1983/11/21,10.2,8,1,15.3,8,1,6.2,8,1
1983/11/22,8.3,8,1,13.7,8,1,3.3,8,1
1983/11/23,7.5,8,1,13.1,8,1,0.8,8,1
1983/11/24,10.1,8,1,15.1,8,1,5.0,8,1
1983/11/25,11.0,8,1,14.8,8,1,8.3,8,1
1983/11/26,8.2,8,1,12.2,8,1,4.4,8,1
1983/11/27,6.8,8,1,10.2,8,1,2.9,8,1
1983/11/28,6.5,8,1,10.9,8,1,3.8,8,1
1983/11/29,6.6,8,1,12.8,8,1,0.4,8,1
1983/11/30,10.1,8,1,15.6,8,1,2.5,8,1
1983/12/1,10.1,8,1,13.8,8,1,7.6,8,1
1983/12/2,10.5,8,1,13.6,8,1,6.7,8,1
1983/12/3,9.9,8,1,15.6,8,1,5.5,8,1
1983/12/4,7.8,8,1,11.6,8,1,5.1,8,1
1983/12/5,8.3,8,1,12.8,8,1,5.1,8,1
1983/12/6,7.9,8,1,11.3,8,1,4.0,8,1
1983/12/7,6.7,8,1,11.0,8,1,1.3,8,1
1983/12/8,7.8,8,1,12.6,8,1,3.8,8,1
1983/12/9,7.4,8,1,12.0,8,1,2.6,8,1
1983/12/10,9.8,8,1,14.4,8,1,2.9,8,1
1983/12/11,12.8,8,1,15.3,8,1,9.5,8,1
1983/12/12,7.8,8,1,11.6,8,1,4.7,8,1
1983/12/13,8.2,8,1,12.0,8,1,2.6,8,1
1983/12/14,11.5,8,1,16.2,8,1,6.0,8,1
1983/12/15,6.0,8,1,10.1,8,1,3.1,8,1
1983/12/16,4.9,8,1,9.7,8,1,0.6,8,1
1983/12/17,3.1,8,1,9.3,8,1,-0.4,8,1
1983/12/18,2.8,8,1,6.4,8,1,-1.0,8,1
1983/12/19,4.3,8,1,8.5,8,1,-1.1,8,1
1983/12/20,3.6,8,1,7.8,8,1,-0.2,8,1
1983/12/21,3.5,8,1,7.7,8,1,-2.4,8,1
1983/12/22,7.4,8,1,12.7,8,1,1.2,8,1
1983/12/23,7.8,8,1,13.3,8,1,3.6,8,1
1983/12/24,3.3,8,1,5.4,8,1,1.9,8,1
1983/12/25,3.2,8,1,8.4,8,1,-0.5,8,1
1983/12/26,2.7,8,1,6.7,8,1,-0.2,8,1
1983/12/27,1.9,8,1,6.2,8,1,-2.3,8,1
1983/12/28,2.6,8,1,7.5,8,1,-2.8,8,1
1983/12/29,3.8,8,1,8.4,8,1,-0.7,8,1
1983/12/30,2.0,8,1,5.7,8,1,-1.3,8,1
1983/12/31,3.3,8,1,7.3,8,1,0.6,8,1
1984/1/1,3.6,8,1,9.3,8,1,-1.3,8,1
1984/1/2,3.1,8,1,9.0,8,1,-1.9,8,1
1984/1/3,3.4,8,1,8.3,8,1,-1.2,8,1
1984/1/4,5.5,8,1,10.4,8,1,1.6,8,1
1984/1/5,3.5,8,1,7.6,8,1,0.0,8,1
1984/1/6,3.8,8,1,7.9,8,1,-1.0,8,1
1984/1/7,3.3,8,1,7.8,8,1,-0.8,8,1
1984/1/8,1.9,8,1,6.9,8,1,-1.8,8,1
1984/1/9,2.9,8,1,8.2,8,1,-2.3,8,1
1984/1/10,6.3,8,1,10.0,8,1,-1.8,8,1
1984/1/11,4.4,8,1,9.1,8,1,1.5,8,1
1984/1/12,2.8,8,1,6.9,8,1,-0.2,8,1
1984/1/13,3.0,8,1,8.3,8,1,-2.6,8,1
1984/1/14,3.8,8,1,8.6,8,1,0.3,8,1
1984/1/15,6.5,8,1,12.9,8,1,-1.0,8,1
1984/1/16,2.3,8,1,5.2,8,1,-0.6,8,1
1984/1/17,1.8,8,1,6.2,8,1,-1.3,8,1
1984/1/18,2.6,8,1,6.5,8,1,-0.9,8,1
1984/1/19,-0.6,8,1,2.1,8,1,-1.5,8,1
1984/1/20,-1.1,8,1,2.0,8,1,-4.1,8,1
1984/1/21,-1.4,8,1,0.6,8,1,-4.1,8,1
1984/1/22,1.6,8,1,3.6,8,1,0.2,8,1
1984/1/23,3.1,8,1,7.5,8,1,-1.0,8,1
1984/1/24,2.1,8,1,6.0,8,1,-1.1,8,1
1984/1/25,1.1,8,1,5.4,8,1,-3.0,8,1
1984/1/26,1.6,8,1,5.8,8,1,-2.6,8,1
1984/1/27,3.3,8,1,7.5,8,1,0.1,8,1
1984/1/28,2.8,8,1,6.6,8,1,-1.3,8,1
1984/1/29,1.6,8,1,5.5,8,1,-1.7,8,1
1984/1/30,2.0,8,1,6.1,8,1,-2.4,8,1
1984/1/31,0.7,8,1,1.9,8,1,0.2,8,1
1984/2/1,3.8,8,1,7.4,8,1,0.2,8,1
1984/2/2,5.6,8,1,11.2,8,1,0.2,8,1
1984/2/3,1.9,8,1,6.0,8,1,-2.1,8,1
1984/2/4,-0.4,8,1,2.1,8,1,-3.5,8,1
1984/2/5,0.5,8,1,5.0,8,1,-3.4,8,1
1984/2/6,-0.3,8,1,2.3,8,1,-2.6,8,1
1984/2/7,-0.5,8,1,2.5,8,1,-3.6,8,1
1984/2/8,0.7,8,1,4.5,8,1,-2.1,8,1
1984/2/9,0.8,8,1,5.9,8,1,-3.9,8,1
1984/2/10,1.6,8,1,5.9,8,1,-2.1,8,1
1984/2/11,1.8,8,1,5.9,8,1,-2.4,8,1
1984/2/12,1.7,8,1,5.7,8,1,-1.2,8,1
1984/2/13,2.3,8,1,4.3,8,1,0.2,8,1
1984/2/14,2.9,8,1,6.7,8,1,1.2,8,1
1984/2/15,1.8,8,1,5.1,8,1,-0.5,8,1
1984/2/16,1.4,8,1,6.1,8,1,-2.1,8,1
1984/2/17,0.4,8,1,3.0,8,1,-1.2,8,1
1984/2/18,0.4,8,1,3.1,8,1,-1.6,8,1
1984/2/19,2.3,8,1,5.9,8,1,-2.3,8,1
1984/2/20,1.9,8,1,5.0,8,1,-0.5,8,1
1984/2/21,2.8,8,1,7.7,8,1,-2.3,8,1
1984/2/22,3.9,8,1,8.2,8,1,-0.1,8,1
1984/2/23,1.7,8,1,2.6,8,1,0.7,8,1
1984/2/24,4.8,8,1,9.4,8,1,1.1,8,1
1984/2/25,2.8,8,1,6.0,8,1,-0.2,8,1
1984/2/26,2.0,8,1,3.4,8,1,0.8,8,1
1984/2/27,6.0,8,1,10.1,8,1,2.3,8,1
1984/2/28,3.0,8,1,6.8,8,1,0.3,8,1
1984/2/29,2.3,8,1,6.4,8,1,-2.2,8,1
1984/3/1,2.4,8,1,6.2,8,1,-2.6,8,1
1984/3/2,5.4,8,1,10.6,8,1,-1.1,8,1
1984/3/3,5.3,8,1,11.3,8,1,1.1,8,1
1984/3/4,3.3,8,1,7.8,8,1,-0.3,8,1
1984/3/5,3.4,8,1,7.6,8,1,-0.3,8,1
1984/3/6,4.2,8,1,8.8,8,1,-0.5,8,1
1984/3/7,4.9,8,1,9.2,8,1,0.4,8,1
1984/3/8,4.8,8,1,9.3,8,1,0.6,8,1
1984/3/9,4.3,8,1,8.9,8,1,0.6,8,1
1984/3/10,3.3,8,1,6.7,8,1,2.1,8,1
1984/3/11,4.8,8,1,8.3,8,1,2.0,8,1
1984/3/12,5.6,8,1,10.1,8,1,-1.3,8,1
1984/3/13,4.0,8,1,8.3,8,1,0.6,8,1
1984/3/14,0.7,8,1,2.7,8,1,-0.5,8,1
1984/3/15,3.9,8,1,8.5,8,1,0.1,8,1
1984/3/16,2.1,8,1,3.8,8,1,1.0,8,1
1984/3/17,6.7,8,1,10.6,8,1,2.4,8,1
1984/3/18,6.8,8,1,12.6,8,1,1.6,8,1
1984/3/19,2.0,8,1,4.9,8,1,0.2,8,1
1984/3/20,1.6,8,1,3.9,8,1,0.2,8,1
1984/3/21,4.5,8,1,9.5,8,1,0.8,8,1
1984/3/22,3.9,8,1,8.1,8,1,-0.4,8,1
1984/3/23,2.9,8,1,8.3,8,1,-1.4,8,1
1984/3/24,5.4,8,1,10.4,8,1,1.3,8,1
1984/3/25,8.6,8,1,14.6,8,1,2.7,8,1
1984/3/26,7.1,8,1,11.7,8,1,3.4,8,1
1984/3/27,7.0,8,1,12.2,8,1,3.0,8,1
1984/3/28,2.8,8,1,6.1,8,1,0.5,8,1
1984/3/29,9.0,8,1,14.4,8,1,0.1,8,1
1984/3/30,11.3,8,1,17.6,8,1,4.7,8,1
1984/3/31,8.6,8,1,18.0,8,1,1.1,8,1
1984/4/1,2.3,8,1,3.3,8,1,1.1,8,1
1984/4/2,5.0,8,1,10.0,8,1,2.1,8,1
1984/4/3,5.9,8,1,9.5,8,1,1.3,8,1
1984/4/4,11.2,8,1,15.9,8,1,4.3,8,1
1984/4/5,11.6,8,1,13.3,8,1,10.5,8,1
1984/4/6,12.7,8,1,19.8,8,1,8.5,8,1
1984/4/7,7.1,8,1,9.9,8,1,4.0,8,1
1984/4/8,6.4,8,1,12.1,8,1,2.7,8,1
1984/4/9,6.9,8,1,12.0,8,1,1.5,8,1
1984/4/10,10.0,8,1,14.5,8,1,5.4,8,1
1984/4/11,10.8,8,1,16.4,8,1,7.7,8,1
1984/4/12,11.5,8,1,17.4,8,1,6.5,8,1
1984/4/13,9.7,8,1,13.8,8,1,6.8,8,1
1984/4/14,9.5,8,1,14.6,8,1,5.3,8,1
1984/4/15,10.7,8,1,14.8,8,1,4.2,8,1
1984/4/16,10.6,8,1,12.5,8,1,9.2,8,1
1984/4/17,10.7,8,1,15.6,8,1,8.0,8,1
1984/4/18,16.2,8,1,20.8,8,1,10.2,8,1
1984/4/19,7.1,8,1,17.7,8,1,5.2,8,1
1984/4/20,10.0,8,1,17.5,8,1,4.6,8,1
1984/4/21,9.2,8,1,13.5,8,1,5.8,8,1
1984/4/22,8.3,8,1,11.5,8,1,5.9,8,1
1984/4/23,10.1,8,1,17.2,8,1,5.6,8,1
1984/4/24,11.6,8,1,17.6,8,1,4.5,8,1
1984/4/25,15.1,8,1,18.3,8,1,11.1,8,1
1984/4/26,16.3,8,1,21.4,8,1,13.0,8,1
1984/4/27,14.6,8,1,19.7,8,1,10.1,8,1
1984/4/28,14.2,8,1,21.0,8,1,8.5,8,1
1984/4/29,10.4,8,1,15.6,8,1,7.1,8,1
1984/4/30,11.5,8,1,15.3,8,1,7.4,8,1
1984/5/1,14.8,8,1,19.9,8,1,9.8,8,1
1984/5/2,14.3,8,1,19.7,8,1,11.5,8,1
1984/5/3,15.3,8,1,21.3,8,1,9.3,8,1
1984/5/4,15.8,8,1,20.8,8,1,11.2,8,1
1984/5/5,16.2,8,1,20.0,8,1,12.9,8,1
1984/5/6,17.7,8,1,22.6,8,1,13.3,8,1
1984/5/7,17.5,8,1,21.7,8,1,13.4,8,1
1984/5/8,18.1,8,1,21.5,8,1,14.0,8,1
1984/5/9,20.7,8,1,27.1,8,1,17.2,8,1
1984/5/10,17.0,8,1,22.8,8,1,14.2,8,1
1984/5/11,17.8,8,1,21.6,8,1,12.7,8,1
1984/5/12,16.3,8,1,21.4,8,1,12.6,8,1
1984/5/13,12.1,8,1,13.1,8,1,10.8,8,1
1984/5/14,11.8,8,1,15.1,8,1,10.1,8,1
1984/5/15,11.0,8,1,14.9,8,1,7.8,8,1
1984/5/16,12.6,8,1,15.9,8,1,10.9,8,1
1984/5/17,13.5,8,1,18.1,8,1,10.6,8,1
1984/5/18,13.8,8,1,18.4,8,1,10.5,8,1
1984/5/19,15.3,8,1,20.3,8,1,9.4,8,1
1984/5/20,15.7,8,1,20.6,8,1,12.5,8,1
1984/5/21,14.2,8,1,16.3,8,1,13.1,8,1
1984/5/22,13.5,8,1,17.3,8,1,10.4,8,1
1984/5/23,12.5,8,1,14.9,8,1,11.2,8,1
1984/5/24,14.4,8,1,18.4,8,1,11.7,8,1
1984/5/25,15.8,8,1,20.0,8,1,13.1,8,1
1984/5/26,16.2,8,1,20.1,8,1,11.4,8,1
1984/5/27,18.7,8,1,21.6,8,1,14.8,8,1
1984/5/28,18.8,8,1,22.2,8,1,16.9,8,1
1984/5/29,18.6,8,1,22.1,8,1,15.9,8,1
1984/5/30,20.0,8,1,24.7,8,1,16.4,8,1
1984/5/31,19.8,8,1,23.3,8,1,16.4,8,1
1984/6/1,21.2,8,1,26.7,8,1,18.1,8,1
1984/6/2,21.0,8,1,24.6,8,1,16.8,8,1
1984/6/3,18.0,8,1,20.4,8,1,15.0,8,1
1984/6/4,16.9,8,1,21.1,8,1,14.7,8,1
1984/6/5,18.5,8,1,22.5,8,1,14.9,8,1
1984/6/6,20.0,8,1,25.5,8,1,15.2,8,1
1984/6/7,21.7,8,1,26.3,8,1,18.4,8,1
1984/6/8,22.1,8,1,25.3,8,1,19.6,8,1
1984/6/9,22.0,8,1,26.5,8,1,18.5,8,1
1984/6/10,22.5,8,1,24.7,8,1,20.3,8,1
1984/6/11,20.6,8,1,23.3,8,1,18.8,8,1
1984/6/12,21.3,8,1,26.0,8,1,18.6,8,1
1984/6/13,19.4,8,1,21.4,8,1,18.1,8,1
1984/6/14,20.4,8,1,24.0,8,1,18.5,8,1
1984/6/15,21.0,8,1,24.7,8,1,16.3,8,1
1984/6/16,22.7,8,1,25.4,8,1,20.6,8,1
1984/6/17,23.4,8,1,25.8,8,1,20.9,8,1
1984/6/18,24.3,8,1,26.0,8,1,22.9,8,1
1984/6/19,25.4,8,1,28.7,8,1,23.0,8,1
1984/6/20,23.9,8,1,26.5,8,1,21.0,8,1
1984/6/21,17.8,8,1,21.0,8,1,16.2,8,1
1984/6/22,17.8,8,1,19.3,8,1,16.5,8,1
1984/6/23,18.1,8,1,20.3,8,1,17.1,8,1
1984/6/24,19.8,8,1,24.1,8,1,16.6,8,1
1984/6/25,19.1,8,1,21.1,8,1,16.9,8,1
1984/6/26,18.0,8,1,19.4,8,1,17.0,8,1
1984/6/27,18.6,8,1,21.5,8,1,16.7,8,1
1984/6/28,20.8,8,1,23.8,8,1,17.7,8,1
1984/6/29,18.9,8,1,21.3,8,1,17.3,8,1
1984/6/30,20.5,8,1,25.2,8,1,17.2,8,1
1984/7/1,20.4,8,1,26.2,8,1,16.3,8,1
1984/7/2,21.6,8,1,27.4,8,1,16.6,8,1
1984/7/3,24.1,8,1,27.0,8,1,21.4,8,1
1984/7/4,26.4,8,1,31.5,8,1,22.5,8,1
1984/7/5,26.4,8,1,30.9,8,1,23.8,8,1
1984/7/6,24.3,8,1,29.5,8,1,20.1,8,1
1984/7/7,20.1,8,1,22.0,8,1,18.5,8,1
1984/7/8,20.9,8,1,23.0,8,1,18.2,8,1
1984/7/9,22.3,8,1,27.3,8,1,19.3,8,1
1984/7/10,22.4,8,1,26.4,8,1,18.6,8,1
1984/7/11,22.8,8,1,26.2,8,1,20.3,8,1
1984/7/12,23.3,8,1,26.5,8,1,20.7,8,1
1984/7/13,24.8,8,1,28.1,8,1,20.4,8,1
1984/7/14,25.9,8,1,29.4,8,1,23.4,8,1
1984/7/15,26.2,8,1,29.5,8,1,24.9,8,1
1984/7/16,26.9,8,1,30.7,8,1,24.2,8,1
1984/7/17,26.8,8,1,30.7,8,1,23.4,8,1
1984/7/18,26.5,8,1,29.9,8,1,23.9,8,1
1984/7/19,25.9,8,1,29.6,8,1,23.9,8,1
1984/7/20,25.4,8,1,29.5,8,1,23.4,8,1
1984/7/21,25.8,8,1,29.4,8,1,23.4,8,1
1984/7/22,25.1,8,1,29.1,8,1,21.6,8,1
1984/7/23,24.9,8,1,28.5,8,1,23.0,8,1
1984/7/24,25.5,8,1,29.3,8,1,21.7,8,1
1984/7/25,26.5,8,1,29.6,8,1,23.2,8,1
1984/7/26,26.7,8,1,32.0,8,1,23.1,8,1
1984/7/27,26.2,8,1,31.3,8,1,23.2,8,1
1984/7/28,25.7,8,1,28.5,8,1,24.0,8,1
1984/7/29,27.4,8,1,31.9,8,1,24.5,8,1
1984/7/30,26.5,8,1,31.4,8,1,23.2,8,1
1984/7/31,26.4,8,1,30.3,8,1,22.1,8,1
1984/8/1,26.8,8,1,30.0,8,1,24.8,8,1
1984/8/2,27.0,8,1,29.7,8,1,24.5,8,1
1984/8/3,27.1,8,1,30.4,8,1,25.3,8,1
1984/8/4,27.6,8,1,31.0,8,1,24.2,8,1
1984/8/5,27.5,8,1,30.3,8,1,24.9,8,1
1984/8/6,28.4,8,1,32.6,8,1,26.0,8,1
1984/8/7,29.6,8,1,35.2,8,1,24.9,8,1
1984/8/8,27.9,8,1,33.1,8,1,25.3,8,1
1984/8/9,28.2,8,1,32.8,8,1,24.5,8,1
1984/8/10,27.9,8,1,31.0,8,1,25.5,8,1
1984/8/11,27.8,8,1,30.7,8,1,25.4,8,1
1984/8/12,28.4,8,1,31.9,8,1,25.5,8,1
1984/8/13,27.7,8,1,32.0,8,1,25.9,8,1
1984/8/14,27.7,8,1,31.1,8,1,24.0,8,1
1984/8/15,28.2,8,1,31.1,8,1,25.4,8,1
1984/8/16,28.3,8,1,31.5,8,1,25.7,8,1
1984/8/17,28.7,8,1,34.0,8,1,25.8,8,1
1984/8/18,28.5,8,1,33.4,8,1,24.5,8,1
1984/8/19,28.0,8,1,31.6,8,1,24.7,8,1
1984/8/20,27.9,8,1,32.8,8,1,24.6,8,1
1984/8/21,27.6,8,1,31.6,8,1,26.1,8,1
1984/8/22,28.5,8,1,31.0,8,1,26.7,8,1
1984/8/23,28.2,8,1,33.8,8,1,24.0,8,1
1984/8/24,23.9,8,1,27.7,8,1,21.4,8,1
1984/8/25,23.4,8,1,28.3,8,1,20.1,8,1
1984/8/26,25.1,8,1,28.9,8,1,20.6,8,1
1984/8/27,26.6,8,1,28.8,8,1,24.3,8,1
1984/8/28,26.9,8,1,31.5,8,1,23.2,8,1
1984/8/29,24.2,8,1,28.8,8,1,21.3,8,1
1984/8/30,22.9,8,1,24.8,8,1,21.6,8,1
1984/8/31,25.5,8,1,29.5,8,1,21.7,8,1
1984/9/1,26.5,8,1,30.0,8,1,23.3,8,1
1984/9/2,28.3,8,1,31.6,8,1,25.3,8,1
1984/9/3,28.2,8,1,34.0,8,1,23.8,8,1
1984/9/4,25.8,8,1,33.1,8,1,22.2,8,1
1984/9/5,22.4,8,1,25.0,8,1,21.0,8,1
1984/9/6,23.0,8,1,28.0,8,1,20.3,8,1
1984/9/7,21.9,8,1,26.0,8,1,18.4,8,1
1984/9/8,21.7,8,1,26.2,8,1,18.2,8,1
1984/9/9,22.6,8,1,25.3,8,1,20.0,8,1
1984/9/10,25.3,8,1,31.4,8,1,20.4,8,1
1984/9/11,23.9,8,1,28.0,8,1,21.5,8,1
1984/9/12,22.7,8,1,26.0,8,1,20.5,8,1
1984/9/13,22.5,8,1,25.6,8,1,18.9,8,1
1984/9/14,24.1,8,1,27.1,8,1,20.8,8,1
1984/9/15,22.6,8,1,25.6,8,1,19.5,8,1
1984/9/16,20.3,8,1,21.2,8,1,19.2,8,1
1984/9/17,21.8,8,1,26.5,8,1,19.3,8,1
1984/9/18,21.3,8,1,24.3,8,1,18.5,8,1
1984/9/19,19.7,8,1,20.7,8,1,18.8,8,1
1984/9/20,21.6,8,1,25.4,8,1,18.7,8,1
1984/9/21,21.6,8,1,24.0,8,1,20.1,8,1
1984/9/22,21.1,8,1,25.1,8,1,18.0,8,1
1984/9/23,20.0,8,1,24.8,8,1,16.0,8,1
1984/9/24,19.9,8,1,25.2,8,1,15.4,8,1
1984/9/25,20.7,8,1,24.5,8,1,14.8,8,1
1984/9/26,20.5,8,1,23.5,8,1,17.7,8,1
1984/9/27,18.1,8,1,22.3,8,1,15.3,8,1
1984/9/28,18.9,8,1,24.4,8,1,14.0,8,1
1984/9/29,21.0,8,1,25.3,8,1,15.2,8,1
1984/9/30,22.8,8,1,28.1,8,1,18.3,8,1
1984/10/1,21.2,8,1,25.1,8,1,18.6,8,1
1984/10/2,23.0,8,1,26.5,8,1,19.2,8,1
1984/10/3,24.7,8,1,28.1,8,1,20.4,8,1
1984/10/4,18.1,8,1,20.5,8,1,15.7,8,1
1984/10/5,18.0,8,1,21.8,8,1,14.7,8,1
1984/10/6,16.0,8,1,18.1,8,1,14.6,8,1
1984/10/7,14.6,8,1,17.4,8,1,11.9,8,1
1984/10/8,13.8,8,1,17.7,8,1,10.0,8,1
1984/10/9,14.0,8,1,18.8,8,1,10.3,8,1
1984/10/10,15.3,8,1,19.2,8,1,11.5,8,1
1984/10/11,15.9,8,1,17.6,8,1,14.6,8,1
1984/10/12,18.0,8,1,19.0,8,1,15.4,8,1
1984/10/13,19.9,8,1,24.3,8,1,16.9,8,1
1984/10/14,20.9,8,1,25.8,8,1,16.8,8,1
1984/10/15,16.0,8,1,20.4,8,1,13.1,8,1
1984/10/16,15.2,8,1,19.1,8,1,11.0,8,1
1984/10/17,16.4,8,1,19.1,8,1,13.7,8,1
1984/10/18,18.3,8,1,23.5,8,1,14.3,8,1
1984/10/19,15.8,8,1,16.7,8,1,14.6,8,1
1984/10/20,14.7,8,1,16.6,8,1,13.6,8,1
1984/10/21,15.9,8,1,21.8,8,1,11.9,8,1
1984/10/22,14.3,8,1,18.7,8,1,9.8,8,1
1984/10/23,15.0,8,1,20.4,8,1,10.5,8,1
1984/10/24,17.1,8,1,23.9,8,1,11.3,8,1
1984/10/25,16.0,8,1,18.3,8,1,13.6,8,1
1984/10/26,16.0,8,1,22.7,8,1,11.9,8,1
1984/10/27,18.0,8,1,21.9,8,1,13.6,8,1
1984/10/28,16.3,8,1,20.2,8,1,14.7,8,1
1984/10/29,12.4,8,1,14.9,8,1,10.3,8,1
1984/10/30,12.2,8,1,17.3,8,1,9.2,8,1
1984/10/31,11.9,8,1,16.7,8,1,6.7,8,1
1984/11/1,13.1,8,1,17.7,8,1,7.9,8,1
1984/11/2,11.5,8,1,16.9,8,1,8.1,8,1
1984/11/3,11.2,8,1,15.6,8,1,6.7,8,1
1984/11/4,13.4,8,1,18.0,8,1,6.8,8,1
1984/11/5,14.9,8,1,21.1,8,1,9.1,8,1
1984/11/6,14.9,8,1,19.2,8,1,10.7,8,1
1984/11/7,15.4,8,1,19.9,8,1,9.8,8,1
1984/11/8,15.1,8,1,20.5,8,1,12.1,8,1
1984/11/9,15.4,8,1,21.7,8,1,9.6,8,1
1984/11/10,13.6,8,1,15.0,8,1,12.1,8,1
1984/11/11,14.0,8,1,17.9,8,1,11.5,8,1
1984/11/12,13.9,8,1,17.2,8,1,11.1,8,1
1984/11/13,10.3,8,1,13.3,8,1,8.2,8,1
1984/11/14,10.1,8,1,14.2,8,1,5.4,8,1
1984/11/15,9.6,8,1,11.5,8,1,8.0,8,1
1984/11/16,12.3,8,1,15.2,8,1,10.2,8,1
1984/11/17,13.1,8,1,17.6,8,1,9.0,8,1
1984/11/18,12.3,8,1,14.5,8,1,10.0,8,1
1984/11/19,9.4,8,1,11.5,8,1,7.1,8,1
1984/11/20,6.1,8,1,8.2,8,1,5.1,8,1
